geo,name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
afg,Afghanistan,,,,37.24,44.02,47.58,38.32,37.83,35.72,31.31,39.83,42.2,26.62,26.94,23.75,,24.36,12.81,14.46
ago,Angola,,,,,,,55.89,43.6,39.37,37.95,,,,,,,,,
alb,Albania,,,46.34,,54.85,52.69,58.67,55.1,45.51,48.14,46.07,45.11,46.4,50.04,49.95,53.65,52.55,52.12,54.45
are,UAE,,67.34,,,68.66,70.97,71.19,72.18,66.21,65.4,65.68,68.31,70.39,66.04,67.11,64.58,67.33,67.38,67.28
arg,Argentina,,63.13,60.73,59.61,64.24,64.41,67.76,64.68,65.82,66.71,66.97,64.27,60.39,57.93,60.86,59.01,59.08,62.61,63.93
arm,Armenia,,42.89,48.82,46.52,41.78,43.68,42.6,43.2,42.77,44.53,43.48,43.25,42.88,50.62,54.88,,53.01,53.82,56.79
aus,Australia,73.41,,72.85,72.54,,74.5,74.06,71.96,73.64,72.89,73.09,72.5,72.57,71.77,72.34,71.37,71.12,70.35,70.25
aut,Austria,,71.22,,71.81,,73.03,74.71,74.01,74.99,69.5,70.76,70.48,72.94,73.96,71.95,72.13,70.8,69.99,66.36
aze,Azerbaijan,,47.28,45.68,48.17,45.74,42.19,46.8,49.11,54.81,52.52,51.47,53.04,51.52,51.68,51.73,,,45.76,52.14
bdi,Burundi,,,,35.63,37.92,,37.06,,,29.05,,,,37.75,,,,,
bel,Belgium,72.62,,72.19,71.17,,68.54,71.11,69.35,71.04,68.55,69.04,69.49,69.28,68.92,67.72,68.39,68.82,68.57,69.44
ben,Benin,,33.3,,36.67,,,38.7,31.93,34.79,33.47,36.25,40.07,48.53,58.2,49.76,44.08,44.93,42.17,44.2
bfa,Burkina Faso,,38.01,40.17,38.46,,40.36,47.85,39.55,33.26,34.81,44.19,42.06,46.47,49.27,47.41,46.4,46.36,,44.62
bgd,Bangladesh,,43.19,46.07,50.52,50.83,48.58,49.86,47.24,46.6,46.36,46.33,45.56,43.1,44.99,51.14,52.8,41.23,34.08,41.14
bgr,Bulgaria,,,38.44,,,39.12,38.75,42.22,39.93,44.38,48.65,48.38,50.97,50.99,51.08,55.98,54.22,53.78,55.9
bhr,Bahrain,,,,,57.01,59.37,48.24,50.27,66.9,61.65,60.07,61.7,62.27,,70.98,61.73,,,59.59
bih,Bosnia and Herzegovina,,,49,,49.63,46.69,49.95,47.73,51.24,52.49,51.17,51.81,50.9,58.87,60.16,55.16,57.49,58.72,60.09
blr,Belarus,,56.58,56.17,54.63,55.64,55.26,52.25,57.49,58.76,58.12,57.19,51.78,55.53,52.34,58.21,,,,
blz,Belize,,,64.51,,,,,,,59.56,,,,,,,,,
bol,Bolivia,,53.74,56.28,52.98,60.86,57.81,57.79,60.19,57.67,58.65,58.34,57.7,56.51,59.16,56.74,55.59,55.69,59.29,58.6
bra,Brazil,66.37,,63.21,66.91,70.01,68.37,70.38,66.6,71.4,69.81,65.47,63.75,63.33,61.91,64.51,61.1,60.1,62.57,65.53
btn,Bhutan,,,,,,,,,55.69,49.39,50.82,,,,,,,,
bwa,Botswana,,47.39,,54.51,,35.53,35.2,48.36,41.28,40.31,37.62,34.99,35.05,34.61,34.71,,,34.35,33.32
caf,Central African Republic,,,41.6,,,35.68,36.78,,,,,26.93,34.76,,,,,,
can,Canada,74.18,,74.82,74.86,74.88,76.5,74.26,74.15,75.94,73.04,74.13,72.45,74.15,71.75,71.09,70.25,69.39,69.18,68.41
che,Switzerland,,74.73,,,75.25,,,77.76,,74.93,75.72,74.59,74.74,75.09,76.94,75.08,73.28,68.84,69.69
chl,Chile,,60.63,56.98,57.89,64.94,66.36,65.26,65.99,67.4,68.44,65.33,65.79,63.2,64.36,59.42,61.51,64.36,64.15,62.3
chn,China,,45.6,48.63,48.46,44.54,46.53,50.37,50.95,52.41,51.96,53.04,53.25,50.99,51.31,51.44,57.71,58.63,,61.45
civ,Cote d'Ivoire,,,,,41.97,,,,37.39,35.7,44.45,45.43,50.38,52.68,53.92,52.57,50.56,48.49,53.37
cmr,Cameroon,,38.51,43.5,42.92,47.41,45.54,44.34,42.45,42.71,42.4,50.38,48.16,50.74,52.51,49.37,52.41,49.63,47.12,49.46
cod,"Congo, Dem. Rep.",,,,,39.84,,45.17,46.39,44.97,44.14,39.03,45.22,43.11,,,,,32.07,33.83
cog,"Congo, Rep.",,,,38.2,,,45.1,39.19,39.55,40.56,46.91,41.19,48.84,54.9,52.13,50.79,49.21,58.05,49.54
col,Colombia,,60.25,61.38,61.68,62.72,64.08,64.64,63.75,66.07,64.49,63.88,62.34,61.57,59.84,63.5,57.09,52.9,58.92,59.04
com,Comoros,,,,,34.76,38.12,38.38,39.56,,,,,,39.73,46.09,,,35.45,35.88
cri,Costa Rica,,70.82,74.32,68.51,76.15,72.71,72.29,72.72,71.58,72.47,68.54,71.36,72.25,71.41,69.98,63.38,64.08,70.77,73.84
cub,Cuba,,54.18,,,,,,,,,,,,,,,,,
cyp,Cyprus,,62.38,,,68.33,63.87,66.9,61.81,54.39,56.27,54.39,57.95,60.62,62.76,61.37,62.6,62.69,58.65,60.71
cze,Czech Republic,64.39,,65,,,62.5,63.31,63.34,66.98,64.84,66.08,67.36,67.9,70.34,,68.97,69.42,66.95,68.27
